【恐怖惊悚】林中小屋 2012 【雷神主演】,30543,29,1470,513,www.dy2018.net 一群喧闹的大学生来到了人迹罕至的小树林里，这五个朋友准备在这里度过一个放纵、
林中小屋各地海报
林中小屋各地海报 (6张)
 开心、难忘的周末。根据指示，他们找到了位于树林深处的一个小木屋，准备在这里开始自己的派对。
　　一开始，一切都很正常，但是到了晚上，这个小木屋里却接连出现了各种各样奇怪的超自然的以及无法解释的事情....
