529,绝好调超智团团,幸好第一次看的时候没上B站
528,ponzi,心情不好时会来看的片^^
527,风城玫瑰D罗斯,为什么我一直播放失败
526,丧尸们都嗨爆了,无数次重刷
不管撸多少遍还是依旧觉得太棒
爷爷说的那几句台词一直印象深刻
第一次看这部电影是在CCTV6
这么多年了却从来没忘记过一直反复看
一部好的电影大概就像这部电影一样
让人觉得又酸又甜看完以后竟然觉得幸福又惆怅
525,蒸发的雨点,超爱看这个 萌萌哒
524,miku万岁万岁万万岁,不够看(=・ω・=)
523,凃茶,QwQ好好看
522,夜を守る,一直在找这个片
521,狸爱酱,我怀念以前b站的电影区，现在弹幕素质的底线在哪里
520,几多好v,啊～好多思绪
519,他灼华胜桃夭°,几年前在电影频道看了一点，今天补完，男主帅得不要不要的(//∇//)
518,QwQooo,回复 @潜行的蛋挞君:( ´_ゝ｀)
517,星子么么哒,我更加坚定了会等你的决定@593
516,短腿Rin,回复 @机智骚年♂:
515,Gaalming,現實中，還沒到最後一步就應該翻臉了吧
514,阿由的由是由,喜欢这种两个视角的电影
513,mika211,发现喜欢的人总是很容易会喜欢上自己最好的朋友，这到底是个什么原理（￣▽￣）
512,mika211,赞赞赞
511,gugu啾啾,看了n多遍，还是会想看
510,小乱蓝,(⑉꒦ິv꒦ິ⑉)超级好看的片子“我知道我们还会聊很久。”
509,郁冬,我好像是比较幸运的，我喜欢的人我都有努力争取，最后的结果也很不错。喜欢就去追，总比以后后悔要好
508,苍穹盛夏仰望那丝余光,你们老师好棒(°∀°)ﾉ
507,CMajalis,赞
506,大钩子抱着丁丁说,看完想求哥哥们娶我
505,blueberry2046,真正的好电影，全程怦然心动！女生必看电影
504,白桉,（⌒▽⌒）
503,绝食包,。。。。根本没有青梅竹马的哭着看评论，看完想谈恋爱QAQ男主好帅啊啊啊啊
502,为霜蠢蠢哒,(´；ω；`)我们老师放给我们看的时候全程都在心动啊，这种青梅竹马太美好
501,韶庵Doris,斯人若彩虹，遇上方知有
500,腐腐妹纸,少女心真的要复活了，不知为何，结局会想哭。
不愧是我从以前开始就一直想看的电影，太美好了。
499,嘀哩嘀哩月野兔,这都能让天朝躺枪？孩子你这么逆向民族主义干嘛！天朝也有好片子的OK
498,晴天XM,楼上简直神补刀（￣▽￣）
497,端木果子,11年看过的二刷
496,名侦探维他奶,说渣的怎么了，人家渣也有女孩追，你呢？
495,寒陌夕痕,回复 @PoetryU :那些有事没事扯上天朝的无非是想证明自己有多low罢了
494,winderJ,已经晚了。2333
493,再睇我名系猪,想不到美国也有这么好看的纯爱青春片，留爪&quot;_&quot;
492,juliatt,之前不知道哔哩哔哩有，买了DVD。晚上睡觉听着听着睡着，永远都不厌烦。很喜欢juliet，谢谢她陪我渡过一段难熬的日子。
491,叫我亲爱滴陛下,超级治愈哟～
490,Hyde德叔,我看的都心动了！
489,桃吖桃桃酱,撸了七八遍了，撸的我都想早恋了。。。
488,渡我i,感动，看到最后种树的镜头，两个人的手碰到一起，我能懂那种怦然心动。╮(￣▽￣)╭
487,野崎千代子,(;¬_¬)第二次来重温开了弹幕 最后那些刷频表白的人是什么心态
486,ChopinShaw,早就听说这部片了，一直没时间看，正好国庆放假看一看(･ิϖ･ิ)っ
485,冰箱里有颗人头,我果然不适合小清新。。。
484,拿铁SAMA,(･∀･)我也一样
483,蘸上了咖喱的小志龙,最喜欢最后两个人手碟在一起，真的怦然心动
482,老木匠的木头人,全剧没有一次真正的kiss，但我的心就是这么怦然心动。
481,PoetryU,你也不要用你的价值观来衡量别人好吗？地图炮boom
480,星星味的小蝶酱,炒鸡喜欢这部电影～作为英语课代表的我还在课上让同学一起看来着╰(*´︶`*)╯
479,馒夫子,字太多发不出去，分两次发了

478,馒夫子,回想着，或许自己的人生也很精彩。那种怦然心动的感觉是无法忘怀的，会让人夜里想起睡不着觉，看见她会变得腼腆，不知说什么话，上课会偷瞄几眼，无意中对视会突然扭过头去望着其它地方，就是这种感觉陪伴了我们的懵懂期，让我觉得那段时间是最好的，也就像电影里外公所说的“有的人浅薄，有的人金玉其表败絮其中。有一天 你会遇到一个彩虹般绚烂的人，当你遇到这个人后，会觉得其他人都只是浮云而已。 ”总有一个人让你怦然心动~
477,馒夫子,很高兴能看完这部电影后留下自己的想法，昨天把这部电影看完之后深有感触，到现在还依然回味着其中的情节，它既不像泰坦尼克号宏伟壮观，不像海上钢琴师、肖申克的救赎、天堂电影院那样包含人生内涵，毕竟我们经历的还太少，我觉得这部电影才是最接近我的，与自己的内心产生种种共鸣，看完才觉得自己也许错过了什么，我喜欢电影中的精彩故事，女主朱丽是个很了不起的女孩，虽然在旁人看来是一个怪人，但她却领悟了同龄人里不一样的人生，在那棵梧桐树上找到了自己心里的平静，在探访傻叔叔的途中领悟了人间真情；但男主布莱斯一开始并不领情，经过一些事后却觉得心里过意不去，也许是觉得自己心中有愧，或者是内心里已经喜欢上了朱丽，当自己发现自己内心的独白之后才真正的开始欣赏朱丽，倒转过来去追求朱丽，但朱丽却渐渐的开始放下心里的布莱斯……
476,馒夫子,很好的一部电影
475,雯雯同學,只有我一个人觉得女主好看?
474,妄执无明,小学喜欢一个高高的帅帅的男生 考试安排座位 把我分到了最后一排 和他一张桌子考试 那场考试我从头笑到尾印象特别深
473,何诉离,被《毛骗》结局安利来~好羡慕青梅竹马~命中注定
472,BFHL,超级喜欢这个片子。
471,绝食包,还没看先马着一下QAQ青梅竹马QAQ根本就没有啊真是心酸
470,啊辣辣辣辣辣条,点赞的人都是什么心态(苦笑)
469,Alimystery,看完了。感慨太多不知道该怎么说。
想想喜欢初恋到现在也八年了，人生能有几个八年呢。可世界上很多时候不是相爱就能在一起的，就好像她对我说她实在无法想象以后我们在一起然后再分开后会怎样。
这么久以来也差不多释然了，真正拿起才能淡然放下。只是无论何时回忆起过往的一点一滴都会觉得温暖又悲伤。
468,月光长长照西瓜D,刚刚看了两小无猜过来，三观尽毁，过来洗涤心灵(･∀･)
467,DerFrau,(●￣(ｴ)￣●)今日n刷...今天的我,也没有男票
466,刀起蛋落,美国重视演技，中国重视外表。不要用你的价值观来衡量别人
465,无言勿沉恋,最喜欢的小清新电影了，看了好几遍都不会腻
464,红豆君不是抖S,虽然没有喜欢的人，但看完这电影，突然有了怦然心动的感觉，好甜～
463,雷纪秋,治愈QAQ男主好像小李啊没有人觉得嘛
462,Changmin0218,喔！开学前来一发（ˉ﹃ˉ）
461,机智骚年♂,每过半年来刷一次
460,云芽,赞(ง •̀_•́)ง
459,顾北澄,特别喜欢这部电影
458,又长肉了233,虽然现在的年龄允许我早恋，但是没人和我早恋阿喂！
457,MrSun000,谁说欧美没有小清新，，太纯了
456,怼怒,摸摸头T^T
455,怼怒,(*'艸｀*)我沉寂已久的少女心
454,堇茗,成人版的那个！我一年级外教教过我们这个！！！！
