【BD·720P】【R级喜剧】两男变错身 2011【中英字幕】【元旦快乐】,163012,86,3717,3372,直传 两男变错身是导演大卫·道金、《宿醉》编剧乔恩·卢卡斯联合制作的最新喜剧作品。一对好兄弟Mitch 和Dave 艳羡对方的生活，然后身体互换的故事。影片癫狂搞笑，各种笑料层出不穷。
主演
瑞恩·雷诺兹 杰森·贝特曼 奥利维亚·王尔德
