506,哲学王子,吓死宝宝了 还以为安利之书
另有高阶天书数卷，曰《十万个为什么》，曰《知识青年自学丛书》，曰《机械基础》，曰《土法炼钢》，曰《粗制氨水》

http://www.zhihu.com/question/24593777/answer/40425597
http://www.zhihu.com/question/28585406/answer/41438440
449,抖S百合妹子,（#-_-)┯━┯卡死。。。。
448,岚厕所,所以说，信仰≠宗教信仰啊  有的小同学们呀。不要走进了误区
447,白芍可,说结尾彩蛋的出来，我保证不打死你！！！
446,眸角微醺,***
445,楪祈の恋,宗教信仰分子好傻啊。。
444,眸角微醺,宗教题材。。。Σ( ￣□￣||)&lt;
443,gigi不吃肉,能求个移动迷宫2的片源么( ´ ▽ ` )
442,玛格丽特丶,可恶啊，就瞎一只眼睛不行吗
441,十五wwww,我家有本盲人看的书，我也成瞎子了？？？
440,十五wwww,八竿子打不到一起的事 强行捧共产党啊？
439,十五wwww,回复 @Caffie430 :陈赖汉，你放了好长一个屁
438,十五wwww,回复 @非正式疯狂 :我并不讨厌宗教内容 感觉后面几十分钟同样有趣
437,yanbog,当你想要朝着一个伟大的目标前进时，其实你已经成为了那个目标
436,Caffie430,呵。
435,芈屮,我就想传这个的。。。。
434,迹墨的寞寂,回复 @非正式疯狂:不是瞎子也可以学盲文啦，就好像不是哑巴也可以学手语一样啊。
433,非正式疯狂,可是那本书是盲文诶(｀・ω・´)我一直以为感知是信仰buff呢
432,非正式疯狂,由于吸引我的是男主的动作戏，所以我觉得剧情单纯一点普通一点无所谓，哪怕就是为了生存抢资源，痛痛快快打一场也是酣畅淋漓。加上信仰又怎样呢？这使得前面几十分钟的铺陈都显得多余，影片的前半段与后半段变得支离，，宗教片不像宗教片，强调信仰buff却坚硬缺乏慈悲和普世意义，动作片不像动作片，后半段男主的表现简直平淡的令人如鲠在喉。通片下来我觉得导演应该好好学习如何讲好一个故事。结尾只能让我想到：世间有杀生佛，以杀度人，以杀止杀。ISIS还是这么想的呢。单纯以生存为支撑点，至少还能探索人性呢。
431,阴谋丶家,我也要发弹幕
430,jiangyou76,看来现在人是分不清现实和幻想的区别咯
429,jiangyou76,请问没有信仰这一系列的剧情都如何展开？
428,UFGame,(苦笑)没人管你信不信教 你也别对正经的宗教说来说去 宗教有宗教的意义 可以不理解 但是请理性对待 别一味的在那里喷邪教邪教
427,非正式疯狂,这部片唯一吸引我的地方在于男主的动作戏。但是宗教片强行拉着信仰装逼，使得后面几十分钟变得非常无趣。
426,日天Hilda,狗叔我前男神，他的片子基本都补过。哦，还有《第五元素》里那个发型奇葩的发明家
425,日天Hilda,反派Boss演员是加里奥德曼，《这个杀手不太冷》的变态警察，《惊情四百年》的德古拉，《哈利波特》的小天狼星，《蝙蝠侠》的戈登局长，《猩球崛起2》的人类头目，《新机械战警》的医生。看到弹幕里好多“是不是什么角色”的无语了。。。。
424,阿波谷仁希,在生死存亡之际，有信仰的人才能坚强的活下去并且团结在一起。
笼统的说就是，如果两个人有相同的信仰（当然这里是指真正的信徒），那么他们就能够互相没有任何怀疑和恶意。
423,梦绘缪斯,回复 @UCshoft :这几天轮到系里值班，看电影打发时间。
422,UCshoft,回复 @梦绘缪斯 :其实呢，很多人跟你想法一样，只不过有些人喜欢装高大上,总想表现得“妙语连珠”而无视一些既成事实。B站很多评论都是学生发的，跟他们说不明白，就当作笑话看看就行。太晚了，早点睡吧。
421,梦绘缪斯,回复 @UCshoft :确实有点偏激，不过这也是经历了当代社会的洗礼有感而发。当你的后代经常被喂地沟油、喝毒奶粉、买假货的时候，当你要办房产证时却被公务员踢球、工作时被领导的亲戚挤兑、每天接到数个诈骗电话的时候等等……面对这些普遍现象如果还说“我天朝子民有足够的信仰”，呵呵，道德底线被拉得太低的话，当然觉得这些丑事很平常。
420,迹墨的寞寂,回复 @柚子木字幂组:╮(￣▽￣)╭
419,柚子木字幂组,他在感知窗外的情况
418,梦断飞絮,(●￣(ｴ)￣●)
417,迹墨的寞寂,看到评论里说主角居然是个盲人，我很惊讶，毕竟主角武功高强，还会射箭，还一个人在废土生活了那么久。介于我上一次看这个电影是5年前，也是该回顾一下了的时间了，于是我重看了一遍，在欣赏电影的同时把主角先入为主的当做是会利用声音探索周围环境，有心眼（战斗能力的那个心眼），并且保留了瞎了之前的动作习惯（会查看窗户外面，和人说话会看眼睛，总之让人感受不到这是个盲人），感知能力超强的盲人。后来我得出了结论：主角一定不可能是盲人（￣▽￣）
416,迹墨的寞寂,回复 @ttrr :话说我重看了一遍，在欣赏电影的同时把主角当做是会利用声音探索周围环境，有心眼（战斗能力的那个心眼），并且保留了瞎了之前的动作习惯（会查看窗户外面，和人说话会看眼睛，总之让人感受不到这是个盲人）的盲人。后来我得出了结论：主角一定不可能是盲人（￣▽￣）
415,迹墨的寞寂,回复 @ttrr :有些评论看着当乐其实也不错的，毕竟生活是枯燥的。可是就是有那么一些人，就是没礼貌，没家教，怎么恶心怎么说。还骂不过他，不是因为储备不够导致骂不过，而是因为对方不跟你讲理，你讲理对方不懂，这种人特恶心。我是在up的水果硬糖电影那边见到的那么一个人，真是，恶心啊
414,我想我想我想,为什么我总是载入，看了一半，心好累
413,FujiokaMisaki,所以我到底看了些什么。。。。。。
412,缠绵的雨,婆说婆有理，我只坚持自己的唯心主义，
411,Glenngu,太宗教了
410,绅士の凝视,世间无善无恶，无对无错。人们定义对错善恶，不过是给愚蠢的我们中更加愚蠢的人以管理和划分罢了，不过实践证明确实有利于文明进步，不过到底有利多少呢？
409,绅士の凝视,这总结精辟！
408,绯色梦蝶,你们这样看电影真累
407,jackie619,莫在那儿bb蛋，没信仰的哈咔
406,巡警,Σ( ￣□￣||)看完了
405,白烛兰,莫名想到 丹特丽安的书架
404,茎肛互撸娃骑兄弟,1不建议信上帝的人看，因为这个片子告诉你，宗教只不过是上层的统治手段罢了。2不建议不信上帝的人看，因为这是个传教片。
403,露啊,回复 @Frame师妾 :_(:3」∠)_没填性别就是
402,臂力鼻里,上专区推荐这么容易？
401,巡警,西天取经( ´_ゝ｀)
400,涮涮,回复 @石头大军 :孤僻的人始终孤僻，如果没有身边的朋友亲人帮助永远只能蜗居于自己的世界，其实我也承认自己孤僻，想去信仰却连信仰的目标都没有，如果不是坚信未来会更好，那么我可能也就你的朋友一样。究竟什么是好的三观，根本众说纷纭，其实最适合现今也许就是最好的。我们一起积极面对生活，有能力的话拉一把你的朋友。(=・ω・=)
399,人马系大熊,上帝神佛存不存在根本不重要，因为它们都是象征物，能发挥心理指导效用就行了。
伪善这种东西也根本不用在意，人类本来就是种缺陷产品，能达成浮于表面的善就已经很完美了。

397,Frame师妾,卧槽，这性别标志是什么鬼，双性人？！！！
396,蜡笔小猩猩i,这片子不适合开弹幕
395,0meanwang,电影总体来说不错，不明白为什么好多人牵扯宗教马克上了。感觉电影里的 圣经 代表的只是一种信仰 一种希望以及 人对道德是非底线的基准。 只不过导演是外国人 外国人信基督的又多 所以''艾利之书''才是圣经而已。信仰像是一个圆圈， 圣经－艾利之书 只是其中的一个点。我们可以用来描述和形容信仰的语言也就是这个点的那么多，但是其实我们感受到的却是一个圈那么多。所以感觉电影里的艾利之书只是将我们带入这个信仰圆圈中的一个桥梁而已。 而更多的是需要自己去感受体会。信仰这个大圆圈里面可以有无数个点 这些点是什么因人而异，大家根据自己的理解信仰来欣赏就可～ （自己的想法，不喜勿喷0
394,哗啦哗啦匹匹大,心里有目标有信仰的人总是让人羡慕的

393,茎肛互撸娃骑兄弟,只是在传教还是自黑？所以电影是在说，宗教是一种操控别人的手段咯？
392,茎肛互撸娃骑兄弟,并不会，电影杜撰的，只是为了区分吃人不吃人的族群
391,UCshoft,回复 @梦绘缪斯 :虽然人文精神在国内比较淡化是事实，但基层百姓的生活里仍有很多宝贵的东西值得关注。希望你别太偏激，最好也别像层主那样麻木。生活环境不同会导致三观的理解分歧，不值得辩论(=・ω・=)。
390,英文苦手万大白,(￣ε(#￣) Σ 抱歉，信仰和宗教不是一回事啊.......
389,英文苦手万大白,其实这电影很简单
“如果上帝不存在 一切都是被许可的”
所以，试着相信并拥抱美好的事物 不要让世界改变你 做好你认为对的事
至于，你信不信上帝这事？
抱歉，信仰和宗教是不是一回事啊.......
388,梦绘缪斯,回复 @时之精灵 :只是举个例子而已。那个年代的信仰无论是否正确，都是社会人文的一种体现。
387,梦绘缪斯,回复 @艾鲁佳 :“信仰是人对人生观、价值观和世界观等的选择和持有”。你摘录百度的解释，简直是断章取义。呵呵，其实我不太想说出来，现在的中国人主要信仰的是“金钱”和“权利”而已。我更希望你快点从学校毕业，脚踏实地的走入社会去感受人与人之间的关系。
386,亘达亚之子,我不是针对在座的信仰，而是你们信的全是垃圾。
385,少贤,听说有大人
