33,麋鹿Candy,唏嘘啊，大一时候和一个我最爱的女生一起窝在咖啡馆里，一人带着一边耳机，接在电脑上看这个电影，当时觉得我们能天长地久。三年过去了，她离开了我，今天又看到这个，内心波澜不已
32,鲷鱼赢,其实讲故事的老头子并不是男主？
31,喵丶唔,Y(^_^)Y***噢
30,Pure星澄,以前看了被虐瞎
29,雯喵hyukhae,隆是个好男人啊
28,我就这出息,@圆圆的不会滚 @蟠桃君 13L14L的小伙伴，2部电影都有版权问题的，所以B站是不予shen he 的
27,我就这出息,小伙伴你好，网上貌似还没有高清资源呢。
26,说了不打羊,太美了(｀・ω・´)我的心现在暖暖的
25,星屑星屑,阿婆好棒！你的电影好多都是特别经典的温情文艺派，我要看好多好多然后邂逅抖森老公！yooooooooooo
24,spideyLD,简介剧透了吧喂
23,AAAABILIBL,哭成狗
22,马尔克斯的霍乱,非常喜欢你推荐的电影，有的看过的能再看一遍，没看过的也是很喜欢的类型！(^・ω・^ )
21,veraz90,阿婆主求传此作者最新的电影 最长的旅程the longest ride
20,一座城的失落,阿婆主的所有电影都没声音的么。。
19,喵喵ya,哭的稀里哗啦
18,鸡汁的小渣渣,看我刷出了什么！
17,天象流空没,UP你这个混蛋五一也放假挂了好几天啊(((o(*ﾟ▽ﾟ*)o)))。。。总算回来了^_^
16,蟠桃君,求传律政俏佳人(ง •̀_•́)ง
15,跳刀躲梅肯est,阿婆上传下 独自等待 吧。我这细水管太慢了。。
14,圆圆的不会滚,哇，超级喜欢的一部，看了几遍都哭得一塌糊涂
13,XXXXIBECKY,超好看！！
12,我男票是舰长,派派很喜欢的电影 来赞
11,JOKER。,看成二次元大战。。。
10,长肉冲胸来,当年也是半夜哭得惨兮兮的。
9,CcClark18,喵⊙ω⊙看过
8,贝克汗手,***~\(≧▽≦)/~
7,雪妖桑,每天来up这里看一场电影ヽ(ﾟ∀ﾟ)ﾉ
6,哥特残影,我也看成二次元大战了，，，明天上班就不看爱情片了2333333
5,Siwoooooon,***
4,魅之影,一直想看这个的说(｀・ω・´)感谢up
3,bazingg,最爱(=・ω・=)(=・ω・=)(=・ω・=)
2,Miner,占个座
1,我就是很萌的我啊,看成了在二次元大战。。。
