27,卿卿QuQ,我知道里头有我家Orlando！
26,北北的龙城,库珀屁屁真美
24,寒冰不尽风华,这么多熟脸，演了一部我没听过的电影
23,SixTomaToes,收藏比弹幕多系列
22,猫bibi,(ง •̀_•́)ง(ง •̀_•́)ง
21,想当字幕君的渣翻,李美琪hohoho﹉~\(≧▽≦)/~
20,hereisGOR,回复 @匿名的阿婆主:(;¬_¬)嘻嘻。
19,月眉smile,哈哈，被你猜到啦!（￣へ￣）
18,三多一起,挺美的故事
17,萌萌哒妮妮酱,果真好多大牌~~感谢up主
16,匿名的阿婆主,(=・ω・=)
15,hereisGOR,up主我是云音乐的辣个人~
14,一个土豆不说话,原来封面这图是这部片子啊 好经典的样子 谢谢阿婆主(  ૢ⁼̴̤̆ ㉨ ⁼̴̤̆ ૢ)♡ 
13,Tenink,想哭。。。智商不够用  一半以上都看的迷迷糊糊  像是听一首好听但听不懂的歌
12,chenabyss,不看介绍系列...
11,开脑,一座充满惊喜的城市
10,瓦尔特海姆,人少的可怜●﹏●
9,罗咸腐,挂了？？？
8,罗咸腐,***哈哈哈哈哈哈哈（￣▽￣）
7,梁量两宫春日的忧郁,《罗西，爱你》
6,月眉smile,推荐一个跟这个电影类似的，叫《巴黎，我爱你》哦
5,似怪非怪,第五!!!
4,屮艸芔茻冖,***
3,陶宛德,啊哟，来得挺早
2,悟空子小,第三！！！！！！！
1,Nemonono,第一！！！！！！
