95,ovamy,回复 @GinpuLawrence :小说没看过,因此就没有什么可以做对比的,不过就是单纯从电影中对各个人物形象的诠释,我觉着男主人公真的很自信很阳光!不过,小说里是什么样子,我不清楚啦
94,李姓思维,二周目，终于明白开头。
二周目反而哭的更厉害了。总忍不住带入自己设想自己。
然后发现现在我所认为的痛苦，甚至不到一级。那么还有什么好抱怨的呢?
只是愿天下再无苦痛再无伤悲。愿那些不幸的人们都好好的。当然也愿我的母亲okay:)
13,蓝莓汽水,洗茶boom clap
12,陌瞳VV,11
11,郭曰天,你不是一个人(=・ω・=)
10,susuxi,一晃眼看成了生命中美好的缺德(๑•ั็ω•็ั๑)
9,「双炽」,前十
8,傲娇姐YYYY,为了boom clap而来！
7,凉橙i,欢迎回归~
6,深井棒棒冰,洗茶妹黄老板
5,liwenshi,Boom clap
4,Daphreenee,大好人！！
3,我就这出息,有一种生活，每天来UP主这里，看一场电影~~~大家懂哒！！
2,米饭森,先投币~一直想看这部电影。。
1,苇蓑楠,嗷嗷嗷阿婆主回来了:)欢迎回归！♪
